,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,puerto del rosario,28.5004,-13.8627,73.15,83,40,13.8,ES,1661830784
372,hokitika,-42.7167,170.9667,52.39,82,100,3.44,NZ,1661830784
373,upernavik,72.7868,-56.1549,35.11,87,100,18.12,GL,1661830784
374,cascais,38.6979,-9.4215,66.94,73,0,4.0,PT,1661830785
375,napasar,27.9667,73.55,88.92,55,69,5.55,IN,1661830785
376,lasem,-6.6922,111.4527,89.91,49,82,5.48,ID,1661830785
377,onda,39.9667,-0.25,77.9,85,1,4.36,ES,1661830786
378,lajas,18.05,-67.0593,81.27,86,100,5.01,PR,1661830786
379,nerekhta,57.4588,40.5747,60.69,79,14,2.95,RU,1661830787
380,kanniyakumari,8.0833,77.5667,82.69,71,39,12.03,IN,1661830787
381,zhigansk,66.7697,123.3711,54.72,60,14,5.93,RU,1661830787
382,saint-orens-de-gameville,43.554,1.5341,65.68,94,0,4.61,FR,1661830788
383,kamina,-8.7386,24.9906,64.56,78,99,3.62,CD,1661830788
384,richards bay,-28.783,32.0377,58.98,80,100,20.85,ZA,1661830788
385,sawtell,-30.3833,153.1,68.02,64,100,12.66,AU,1661830788
386,coihaique,-45.5752,-72.0662,40.95,70,0,9.22,CL,1661830742
387,gizo,-8.103,156.8419,83.5,72,96,8.16,SB,1661830789
388,vila franca do campo,37.7167,-25.4333,71.2,83,34,2.62,PT,1661830789
389,apomu,7.3333,4.1833,70.36,99,100,3.29,NG,1661830790
390,iqaluit,63.7506,-68.5145,38.93,93,20,2.3,CA,1661830790
391,yar-sale,66.8333,70.8333,52.32,78,99,15.73,RU,1661830790
392,iracoubo,5.4802,-53.2011,76.89,88,92,5.59,GF,1661830791
393,bud,39.447,-86.1758,73.35,97,67,16.53,US,1661830791
394,new castle,41.0037,-80.347,72.68,93,75,4.61,US,1661830791
395,longyearbyen,78.2186,15.6401,37.24,75,100,3.44,SJ,1661830792
396,abu samrah,35.3029,37.1841,82.8,31,0,4.52,SY,1661830792
397,peleduy,59.6289,112.7406,46.76,66,81,18.72,RU,1661830792
398,gat,31.61,34.7642,81.28,100,0,3.42,IL,1661830793
399,half moon bay,37.4636,-122.4286,68.79,79,0,13.8,US,1661830793
400,haapiti,-17.5667,-149.8667,78.53,72,34,8.34,PF,1661830793
401,salina cruz,16.1667,-95.2,80.1,79,59,2.1,MX,1661830793
402,whitehorse,60.7161,-135.0538,60.03,51,75,10.36,CA,1661830794
403,san pedro,14.35,121.0167,83.43,82,75,5.75,PH,1661830794
404,ankpa,7.3706,7.6253,69.06,98,87,4.16,NG,1661830795
405,worcester,42.3334,-71.8328,74.21,89,20,14.97,US,1661830007
406,port hardy,50.6996,-127.4199,69.98,68,75,3.44,CA,1661830530
407,faanui,-16.4833,-151.75,78.35,70,2,10.51,PF,1661830795
408,kedrovka,55.5333,86.05,59.88,75,47,3.76,RU,1661830796
409,chateauroux,46.8167,1.7,69.8,64,0,6.91,FR,1661830796
410,bandarbeyla,9.4942,50.8122,77.23,75,24,22.7,SO,1661830796
411,port hueneme,34.1478,-119.1951,75.79,83,0,13.8,US,1661830797
412,jagtial,18.8,78.9333,83.14,77,7,7.27,IN,1661830797
413,atemar,54.181,45.4091,74.44,31,100,12.46,RU,1661830797
414,isla mujeres,21.2311,-86.731,84.25,79,49,12.15,MX,1661830798
415,westport,41.1415,-73.3579,77.09,91,0,11.5,US,1661830534
416,mufumbwe,-13.6833,24.8,55.69,46,0,4.7,ZM,1661830798
417,igarka,67.4667,86.5833,44.13,66,100,6.82,RU,1661830799
418,almaznyy,48.0448,40.045,74.1,39,2,5.64,RU,1661830799
419,ampatuan,6.8667,124.4667,89.15,60,100,2.82,PH,1661830799
420,mandurah,-32.55,115.7,62.91,54,1,4.41,AU,1661830781
421,trairi,-3.2778,-39.2689,77.18,83,65,13.04,BR,1661830672
422,sinnamary,5.3833,-52.95,77.81,87,91,6.33,GF,1661830800
423,grand gaube,-20.0064,57.6608,69.39,75,4,1.01,MU,1661830800
424,jacareacanga,-6.2222,-57.7528,75.99,39,99,1.36,BR,1661830800
425,bukachacha,52.9833,116.9167,61.09,35,48,11.74,RU,1661830801
426,dudinka,69.4058,86.1778,45.63,87,100,3.29,RU,1661830801
427,gopalpur,19.2667,84.9167,86.9,66,45,4.38,IN,1661830802
428,tabou,4.423,-7.3528,74.73,84,59,6.78,CI,1661830802
429,taoudenni,22.6783,-3.9836,93.63,32,21,4.27,ML,1661830802
430,udachnyy,66.4167,112.4,41.45,93,100,24.34,RU,1661830803
431,rayagada,19.1667,83.4167,84.76,70,18,3.6,IN,1661830803
432,fare,-16.7,-151.0167,78.22,73,8,10.69,PF,1661830803
433,khilchipur,24.0333,76.5667,81.41,75,100,1.39,IN,1661830804
434,pinos,22.3,-101.5667,58.23,80,50,15.97,MX,1661830804
435,grindavik,63.8424,-22.4338,55.35,100,100,26.46,IS,1661830804
436,axim,4.8699,-2.2405,73.4,93,10,5.82,GH,1661830805
437,greytown,-29.0642,30.5928,43.12,88,100,7.27,ZA,1661830805
438,kavaratti,10.5669,72.642,80.1,81,100,16.2,IN,1661830805
439,fengzhen,40.4394,113.1536,71.78,37,0,5.75,CN,1661830806
440,sterling,39.0062,-77.4286,79.9,82,0,1.99,US,1661830757
441,gryazi,52.4966,39.9359,65.07,63,10,5.95,RU,1661830806
442,leiyang,26.4024,112.8591,82.81,69,99,7.61,CN,1661830807
443,opuwo,-18.0607,13.84,59.61,48,4,1.21,NA,1661830807
444,santa fe,-31.6333,-60.7,50.99,65,36,4.0,AR,1661830807
445,comodoro rivadavia,-45.8667,-67.5,55.26,22,0,3.44,AR,1661830808
446,saint-pierre,-21.3393,55.4781,69.48,80,100,4.61,RE,1661830808
447,presidencia roque saenz pena,-26.7852,-60.4388,54.79,41,68,4.72,AR,1661830809
448,tovste,48.8466,25.7262,59.13,90,60,4.92,UA,1661830809
449,awbari,26.5921,12.7805,79.97,33,0,5.03,LY,1661830809
450,louis trichardt,-23.0439,29.9032,58.08,87,72,12.46,ZA,1661830810
451,djenne,13.9061,-4.5533,76.93,83,88,4.41,ML,1661830810
452,kijang,35.2442,129.2139,80.33,81,100,9.75,KR,1661830810
453,mazyr,52.0495,29.2456,61.09,93,3,9.06,BY,1661830811
454,mahon,39.8885,4.2658,75.76,88,0,3.44,ES,1661830811
455,guerrero negro,27.9769,-114.0611,70.88,85,80,15.08,MX,1661830811
456,gao,16.6362,1.637,86.02,51,9,6.71,ML,1661830812
457,totness,5.8833,-56.3167,78.04,86,55,6.04,SR,1661830812
458,tacoronte,28.4769,-16.4102,66.16,87,75,4.0,ES,1661830812
459,storforshei,66.4043,14.5233,48.65,93,100,1.14,NO,1661830813
460,vila velha,-20.3297,-40.2925,64.35,82,75,13.0,BR,1661830813
461,santa rosa,14.3122,121.1114,84.18,80,91,4.65,PH,1661830813
462,poros,37.4994,23.4536,79.54,68,0,10.29,GR,1661830814
463,cortes,41.9395,-1.4396,68.05,78,0,1.83,ES,1661830814
464,havelock,34.8791,-76.9013,78.94,90,91,4.5,US,1661830602
465,moussoro,13.6408,16.4901,78.93,68,100,1.61,TD,1661830815
466,benavente,42.0025,-5.6783,63.14,51,0,4.05,ES,1661830815
467,saint-francois,46.4154,3.9054,61.68,94,0,2.3,FR,1661830815
468,road town,18.4167,-64.6167,82.49,81,9,15.82,VG,1661830816
469,amga,60.8953,131.9608,57.56,80,100,5.37,RU,1661830816
470,walvis bay,-22.9575,14.5053,53.1,93,100,6.91,NA,1661830816
471,kyra,49.5776,111.9753,60.37,44,44,5.06,RU,1661830817
472,costinesti,43.95,28.6333,68.43,60,16,3.0,RO,1661830817
473,karasburg,-28.0167,18.75,43.93,65,0,16.42,NA,1661830817
474,alyangula,-13.8483,136.4192,82.9,67,27,12.82,AU,1661830818
475,rocha,-34.4833,-54.3333,38.68,90,0,5.77,UY,1661830818
476,peterhead,57.5058,-1.7981,54.0,72,37,5.99,GB,1661830818
477,darnah,32.767,22.6367,77.2,79,0,9.73,LY,1661830819
478,svetlogorsk,52.6333,29.7333,61.48,89,38,8.46,BY,1661830819
479,reyes,-14.3167,-67.3833,67.41,49,8,3.38,BO,1661830819
480,mayo,38.8876,-76.5119,81.95,89,80,1.99,US,1661830820
481,cocoa beach,28.32,-80.6076,84.99,80,0,18.41,US,1661830820
482,petrivka,46.9695,30.9591,75.63,49,36,3.8,UA,1661830821
483,drovyanaya,51.5833,113.0333,65.17,35,74,14.32,RU,1661830821
484,naze,28.3667,129.4833,88.72,71,40,7.81,JP,1661830821
485,picayune,30.5255,-89.6795,81.79,96,50,1.16,US,1661830750
486,tessalit,20.1986,1.0114,87.06,38,15,7.18,ML,1661830822
487,mufulira,-12.5498,28.2407,56.97,48,0,3.83,ZM,1661830822
488,yinchuan,38.4681,106.2731,78.46,24,10,4.7,CN,1661830822
489,geraldton,-28.7667,114.6,66.61,45,0,10.36,AU,1661830823
490,steamboat springs,40.485,-106.8317,67.59,51,0,3.44,US,1661830823
491,port macquarie,-31.4333,152.9167,65.89,63,100,12.28,AU,1661830823
492,sao paulo de olivenca,-3.3783,-68.8725,72.43,97,92,0.78,BR,1661830824
493,san isidro,-12.1167,-77.05,59.02,88,100,10.36,PE,1661830824
494,vestmannaeyjar,63.4427,-20.2734,55.22,89,40,31.21,IS,1661830824
495,strezhevoy,60.7333,77.5889,59.58,75,98,9.19,RU,1661830825
496,dingle,10.9995,122.6711,87.66,66,100,2.04,PH,1661830825
497,mezen,65.8522,44.24,51.01,79,93,10.29,RU,1661830826
498,jiwani,25.05,61.7417,80.01,78,99,7.27,PK,1661830826
499,santa maria,-29.6842,-53.8069,45.7,81,0,8.05,BR,1661830572
500,paso de carrasco,-34.8603,-56.0522,44.74,87,0,4.61,UY,1661830826
501,nantucket,41.2835,-70.0995,75.31,94,0,9.22,US,1661830822
502,byron bay,-28.65,153.6167,66.94,65,100,9.13,AU,1661830827
503,kemijarvi,66.7131,27.4306,44.17,65,75,3.47,FI,1661830827
504,pisco,-13.7,-76.2167,59.05,88,100,9.22,PE,1661830828
505,khazar,41.9974,48.3332,79.05,36,0,5.12,RU,1661830828
506,evensk,61.95,159.2333,53.04,88,100,1.66,RU,1661830828
507,bad tolz,47.7611,11.5589,55.89,75,6,2.93,DE,1661830829
508,malakal,9.5334,31.6605,70.65,93,77,1.79,SS,1661830829
509,kutum,14.2,24.6667,71.28,77,3,12.39,SD,1661830830
510,mandalgovi,45.7625,106.2708,61.95,33,0,14.27,MN,1661830830
511,souillac,-20.5167,57.5167,64.78,94,40,3.44,MU,1661830830
512,charters towers,-20.1,146.2667,74.17,60,100,13.8,AU,1661830831
513,salinopolis,-0.6136,-47.3561,78.53,83,12,11.36,BR,1661830831
514,naryan-mar,67.6713,53.087,48.22,83,51,11.63,RU,1661830831
515,luanda,-8.8368,13.2343,69.8,83,63,5.75,AO,1661830699
516,sicamous,50.8331,-118.9856,72.57,60,79,3.96,CA,1661830832
517,amuntai,-2.4177,115.2494,89.74,57,72,1.41,ID,1661830832
518,medyn,54.9692,35.8586,60.76,77,80,5.06,RU,1661830832
519,bonthe,7.5264,-12.505,74.39,91,42,6.42,SL,1661830833
520,forraskut,46.3653,19.9097,68.05,86,22,4.79,HU,1661830833
521,linxia,35.6003,103.2064,62.94,58,98,2.04,CN,1661830833
522,atar,20.5169,-13.0499,80.38,68,100,4.18,MR,1661830834
523,camopi,3.1655,-52.3158,72.36,97,92,2.62,GF,1661830834
524,aden,12.7794,45.0367,83.25,89,9,5.03,YE,1661830834
525,shakhunya,57.6758,46.6114,72.25,42,100,7.56,RU,1661830835
526,ixtapa,20.7,-105.2,79.83,94,100,4.61,MX,1661830835
527,kabo,7.6994,18.629,67.53,95,100,2.1,CF,1661830835
528,sulangan,11.1373,123.7228,84.69,67,100,4.07,PH,1661830836
529,mpika,-11.8343,31.4529,53.91,60,31,4.54,ZM,1661830836
530,batagay,67.6333,134.6333,65.97,34,49,4.94,RU,1661830836
531,katangli,51.7102,143.2326,71.19,51,3,11.01,RU,1661830837
532,manakara,-22.1333,48.0167,64.27,91,10,3.71,MG,1661830837
533,feijo,-8.1642,-70.3536,71.11,88,96,1.92,BR,1661830838
534,kaseda,31.4167,130.3167,88.88,65,56,2.04,JP,1661830838
535,altamont,42.2068,-121.7372,82.24,26,0,11.5,US,1661830617
536,inhambane,-23.865,35.3833,67.98,100,20,4.61,MZ,1661830838
537,mareeba,-17.0,145.4333,75.92,87,100,5.23,AU,1661830839
538,alamogordo,32.8995,-105.9603,80.22,48,0,5.75,US,1661830839
539,tsiroanomandidy,-18.7667,46.0333,62.33,57,0,2.37,MG,1661830839
540,pacific grove,36.6177,-121.9166,63.01,80,0,4.61,US,1661830840
541,ereymentau,51.6199,73.1033,69.69,30,6,5.28,KZ,1661830840
542,glendive,47.1053,-104.7125,70.18,39,0,3.44,US,1661830840
